Date,Timestamp,SPT Score,TVL,Fees,Volume
2025-07-26,1753488000,0.11667986639608989,859722772,2169212,0
2025-07-27,1753574400,0.12034856931014404,860571429,2238750,0
2025-07-28,1753660800,0.11877123884385196,888959450,2282668,0
2025-07-29,1753747200,0.13097458653040916,842062608,2381609,0
2025-07-30,1753833600,0.13449931846289795,820080458,2381142,0
2025-07-31,1753920000,0.14522879058083166,797867872,2499393,0
2025-08-01,1754006400,0.1748568272406333,759843808,2860860,0
2025-08-02,1754092800,0.15309670904946948,747315110,2466549,0
2025-08-03,1754179200,0.16687275961846398,720819548,2591077,0
2025-08-04,1754265600,0.15472072079502944,756094484,2521738,0
2025-08-05,1754352000,0.14421005794009747,777412400,2418408,0
2025-08-06,1754438400,0.16086072997566092,740851536,2568004,0
2025-08-07,1754524800,0.15808426169837936,766238248,2610587,0
2025-08-08,1754611200,0.15385021583910935,822149532,2726768,0
2025-08-09,1754697600,0.15188008070489603,839503504,2749018,0
2025-08-10,1754784000,0.15040860472150563,878584871,2849395,0
2025-08-11,1754870400,0.1458098147693585,868554157,2731597,0
2025-08-12,1754956800,0.17169057313486616,837488771,3096592,0
2025-08-13,1755043200,0.18133101530523815,915594200,3573810,0
2025-08-14,1755129600,0.18520859286498115,932789847,3718141,0
2025-08-15,1755216000,0.20028300050693587,883237566,3804845,0
2025-08-16,1755302400,0.19026348824330055,844813718,3458626,0
2025-08-17,1755388800,0.2064333838728375,831340510,3690430,0
2025-08-18,1755475200,0.1865424450068483,854121324,3428885,0
2025-08-19,1755561600,0.2009187727978544,812515239,3511212,0
2025-08-20,1755648000,0.19177055104835775,785932558,3242854,0
2025-08-21,1755734400,0.16571745052791437,839426132,2996721,0
2025-08-22,1755820800,0.17252229482549783,856552072,3182286,0
2025-08-23,1755907200,0.146538902892604,979507973,3095791,0
2025-08-24,1755993600,0.14785559858939532,1014206924,3233966,0
2025-08-25,1756080000,0.15103809671432636,978921576,3187958,0
2025-08-26,1756166400,0.155414219184666,903258288,3025933,0
2025-08-27,1756252800,0.14631487000228163,946002874,2985372,0
2025-08-28,1756339200,0.15367368930485975,912513067,3023032,0
2025-08-29,1756425600,0.1589606373009964,901246191,3087422,0
2025-08-30,1756512000,0.15266718279907499,900008964,2962270,0
2025-08-31,1756598400,0.1525291019796767,903147510,2969938,0
2025-09-01,1756684800,0.15613774901340763,886210993,2982512,0
2025-09-02,1756771200,0.17750105351665282,859054175,3282884,0
2025-09-03,1756857600,0.1574281821321949,888936749,3016173,0
2025-09-04,1756944000,0.15436632761947386,925249603,3078907,0
2025-09-05,1757030400,0.16668934340836228,863297263,3099851,0
2025-09-06,1757116800,0.1681062427252875,850429975,3079371,0
2025-09-07,1757203200,0.16457736001703693,844465765,2994160,0
2025-09-08,1757289600,0.16541596974418807,853607957,3041856,0
2025-09-09,1757376000,0.1722165978083103,851442911,3157748,0
2025-09-10,1757462400,0.1766379159911138,834334897,3173046,0
2025-09-11,1757548800,0.18122908982929953,843316031,3289854,0
2025-09-12,1757635200,0.1789720072820794,867777753,3343470,0
2025-09-13,1757721600,0.1764164393474819,866462119,3291132,0
2025-09-14,1757808000,0.17914906264908229,848429330,3272129,0
2025-09-15,1757894400,0.2015414589944018,823680847,3570412,0
2025-09-16,1757980800,0.22819724271295178,805294574,3948945,0
2025-09-17,1758067200,0.20874297320655252,809017886,3631224,0
2025-09-18,1758153600,0.1976810573835162,827791864,3520015,0
2025-09-19,1758240000,0.19567959471658639,832783060,3505658,0
2025-09-20,1758326400,0.19653850982536072,804745678,3402388,0
2025-09-21,1758412800,0.1979797883773923,800285432,3408153,0
2025-09-22,1758499200,0.26451782058267037,794718756,4513261,0
2025-09-23,1758585600,0.21504859368158574,728247615,3366719,0
2025-09-24,1758672000,0.20919965522029854,742406779,3339482,0
2025-09-25,1758758400,0.2070828890404675,744257898,3314178,0
2025-09-26,1758844800,0.22754839870257768,698791696,3417005,0
2025-09-27,1758931200,0.19691633561242594,722226761,3059331,0
2025-09-28,1759017600,0.19826968898718378,710492902,3030153,0
2025-09-29,1759104000,0.19042836588517037,735611849,3014148,0
2025-09-30,1759190400,0.18921668966120483,739266964,3010003,0
2025-10-01,1759276800,0.19534086965366051,730755032,3070880,0
2025-10-02,1759363200,0.1879277065119865,763212710,3086500,0
2025-10-03,1759449600,0.18509158706043746,768431218,3061081,0
2025-10-04,1759536000,0.18225651343059956,777505326,3050173,0
2025-10-05,1759622400,0.18711530756917277,755659446,3042849,0
2025-10-06,1759708800,0.18445416331284883,767083380,3045274,0
2025-10-07,1759795200,0.17674574180607114,799081064,3040812,0
2025-10-08,1759881600,0.19560254383598508,747885570,3147046,0
2025-10-09,1759968000,0.19435522394501376,768365267,3212764,0
2025-10-10,1760054400,1,737201893,15761001,0
2025-10-11,1760140800,0.2561394686926564,615303050,3384298,0
2025-10-12,1760227200,0.28543785232126684,622505277,3813249,0
2025-10-13,1760313600,0.19618848833322458,680370284,2871457,0
2025-10-14,1760400000,0.19185604500894102,706864604,2917900,0
2025-10-15,1760486400,0.18574550540083812,686183734,2743023,0
2025-10-16,1760572800,0.2037937987203149,650828309,2852440,0
2025-10-17,1760659200,0.2336653192539236,602476670,3024707,0
2025-10-18,1760745600,0.21396881881448637,560408645,2577875,0
2025-10-19,1760832000,0.21317715459741454,580478888,2660388,0
2025-10-20,1760918400,0.2036402621526412,601108811,2632560,0
2025-10-21,1761004800,0.20961396881432715,618490943,2787556,0
2025-10-22,1761091200,0.22591258691164848,591228366,2870388,0
2025-10-23,1761177600,0.2283840466675463,589203117,2891641,0
