Date,Timestamp,SPT Score,TVL,Fees,Volume
2025-08-29,1756425600,0.8439916055422787,39472356820,3026953,0
2025-08-30,1756512000,0.8364941323865566,38081925570,3064715,0
2025-08-31,1756598400,0.8380521451022671,38449491205,3037546,0
2025-09-01,1756684800,0.8364116632219055,38441349945,3006851,0
2025-09-02,1756771200,0.8338063955929863,37440868325,3142668,0
2025-09-03,1756857600,0.8300883000574056,37443404614,3047047,0
2025-09-04,1756944000,0.8396535270368833,38859993231,3013597,0
2025-09-05,1757030400,0.8307663612395686,37401245700,3071266,0
2025-09-06,1757116800,0.8243285521073093,37566525754,2929580,0
2025-09-07,1757203200,0.8187757368604373,37121091515,2913762,0
2025-09-08,1757289600,0.8211521636842272,37476831563,2899081,0
2025-09-09,1757376000,0.8239727359931674,37289515155,2963302,0
2025-09-10,1757462400,0.8206847640131942,37408519736,2901384,0
2025-09-11,1757548800,0.8285047085766428,37554680641,2996133,0
2025-09-12,1757635200,0.8411783980535746,38563734896,3090043,0
2025-09-13,1757721600,0.8561570736755225,40551405870,3230324,0
2025-09-14,1757808000,0.8519416190812795,40228472821,3128317,0
2025-09-15,1757894400,0.8464036583094524,39734945807,3048219,0
2025-09-16,1757980800,0.8421365269168152,38937975266,3053796,0
2025-09-17,1758067200,0.8390095369807753,38782956797,3010992,0
2025-09-18,1758153600,0.8503219388843481,39660668759,3162334,0
2025-09-19,1758240000,0.8450216412159012,39502273514,3044697,0
2025-09-20,1758326400,0.8335736354022327,38381071425,2966200,0
2025-09-21,1758412800,0.8316666332584615,38370729353,2938789,0
2025-09-22,1758499200,0.8123438629247863,37372718264,2815672,0
2025-09-23,1758585600,0.8006814270714,35924947592,2871214,0
2025-09-24,1758672000,0.7953694688416605,35605657805,2864224,0
2025-09-25,1758758400,0.7666333053819084,35513492047,2653209,0
2025-09-26,1758844800,0.713019716340524,33299962932,2602966,0
2025-09-27,1758931200,0.7532729398970752,35021212392,2623842,0
2025-09-28,1759017600,0.7453951104857911,34462033313,2637717,0
2025-09-29,1759104000,0.7754075519539168,35430611175,2716806,0
2025-09-30,1759190400,0.7957565951191775,36006915310,2809884,0
2025-10-01,1759276800,0.7913899944328289,35406427267,2854826,0
2025-10-02,1759363200,0.8193048825497762,37080272912,2926505,0
2025-10-03,1759449600,0.8336200876355099,38230648374,2985525,0
2025-10-04,1759536000,0.8357029396506346,38383850158,3001650,0
2025-10-05,1759622400,0.8357610380131049,38286940684,3016146,0
2025-10-06,1759708800,0.8385445773499365,38547018512,3033322,0
2025-10-07,1759795200,0.8585027061087527,39927385611,3843406,0
2025-10-08,1759881600,0.8346489268987644,38027129059,3034516,0
2025-10-09,1759968000,0.8322201552520697,38582334273,2925257,0
2025-10-10,1760054400,0.8225285699135402,37156434408,2961810,0
2025-10-11,1760140800,0.7631734228650852,32903697854,6966789,0
2025-10-12,1760227200,0.6723300627022293,31865313099,2601219,0
2025-10-13,1760313600,0.7882930936174608,35360768884,2830736,0
2025-10-14,1760400000,0.7850835306229642,36060987750,2719465,0
2025-10-15,1760486400,0.7727125962631765,34754797741,2784595,0
2025-10-16,1760572800,0.7458223492546602,33839877598,2722082,0
2025-10-17,1760659200,0.7145108961375779,33314779987,2608807,0
2025-10-18,1760745600,0.6941563038366911,32621313468,2598234,0
2025-10-19,1760832000,0.7060543006797438,33028481180,2602767,0
2025-10-20,1760918400,0.7387631135471502,33840526900,2675725,0
2025-10-21,1761004800,0.7198186162815806,33749508410,2583050,0
2025-10-22,1761091200,0.7060729384132334,32856301514,2627110,0
2025-10-23,1761177600,0.6754794889807842,32379983379,2541293,0
2025-10-24,1761264000,0.7006559537698303,32736909556,2615416,0
2025-10-25,1761350400,0.7285604877871408,33820417573,2619794,0
2025-10-26,1761436800,0.7367508799335984,33946530561,2649710,0
