Date,Timestamp,SPT Score,TVL,Fees,Volume
2025-07-26,1753488000,0.3850109363801009,425192588,96063,41693916
2025-07-27,1753574400,0.436368397900592,426743169,106046,48307285
2025-07-28,1753660800,0.45380923968969566,425656137,108579,51569054
2025-07-29,1753747200,0.533478898094102,424606233,132636,59746539
2025-07-30,1753833600,0.34607800785463433,421077336,79715,41540965
2025-07-31,1753920000,0.2768209156737213,426566083,58017,29640985
2025-08-01,1754006400,0.5556088350459948,421272321,135687,65584515
2025-08-02,1754092800,0.4666238308542777,432858544,111007,50075233
2025-08-03,1754179200,0.48445819138108653,433671760,120704,49426554
2025-08-04,1754265600,0.47838249745517425,442672975,105506,50204683
2025-08-05,1754352000,0.5196478034929751,447598467,112719,53670435
2025-08-06,1754438400,0.5219270621970024,448694728,114769,52687251
2025-08-07,1754524800,0.5328415282788967,452470412,112177,54279703
2025-08-08,1754611200,0.508320405685806,459289420,98455,51244318
2025-08-09,1754697600,0.48040326969126934,462302109,98421,43375320
2025-08-10,1754784000,0.49499778478951334,465098796,99374,44881495
2025-08-11,1754870400,0.5244833793365172,467844071,101813,49127962
2025-08-12,1754956800,0.5194797422867438,469507881,101052,47553947
2025-08-13,1755043200,0.5598012993110054,474413539,106049,52179346
2025-08-14,1755129600,0.7289681822239173,471328596,154789,75550745
2025-08-15,1755216000,0.5383420268685103,474316137,97420,51213502
2025-08-16,1755302400,0.5460374419719936,474409666,109961,47358271
2025-08-17,1755388800,0.5560080201597988,478510849,108196,48664119
2025-08-18,1755475200,0.7167219414049916,461676987,162443,74629326
2025-08-19,1755561600,0.5378053399997678,470230334,103893,50075440
2025-08-20,1755648000,0.5112052797320874,476134759,94482,45608964
2025-08-21,1755734400,0.4957947103793651,480590577,89937,42190415
2025-08-22,1755820800,0.5442733515267184,478616001,96034,51349666
2025-08-23,1755907200,0.4776177195300985,481463852,87129,38689397
2025-08-24,1755993600,0.50721008354475,477303937,90490,45949877
2025-08-25,1756080000,0.5461384264188084,472435469,104779,50548930
2025-08-26,1756166400,0.5945121396621942,467676071,123165,55558919
2025-08-27,1756252800,0.4763008043700295,460921667,93748,45247539
2025-08-28,1756339200,0.4718498749554089,457021866,96452,45091220
2025-08-29,1756425600,0.5055003702842407,460517919,98540,49943487
2025-08-30,1756512000,0.4166260380793072,460375343,82121,36358175
2025-08-31,1756598400,0.4916522667805167,461031090,98691,46498819
2025-09-01,1756684800,0.5054224388804698,453626530,107245,49686967
2025-09-02,1756771200,0.4934489945472764,456067907,101071,48442453
2025-09-03,1756857600,0.46128791896864346,455601267,94894,44122372
2025-09-04,1756944000,0.4400542963326131,457952398,88729,40589602
2025-09-05,1757030400,0.42531534550772904,456320726,83944,40102252
2025-09-06,1757116800,0.456396761759128,455589883,99090,41047634
2025-09-07,1757203200,0.39663535277946776,451030079,84702,35606631
2025-09-08,1757289600,0.4290848495524461,449066704,87788,43392792
2025-09-09,1757376000,0.44539468283823486,447499062,96768,44047866
2025-09-10,1757462400,0.3442866921921655,446478555,68660,31803328
2025-09-11,1757548800,0.31840109285962676,436956827,63722,32986462
2025-09-12,1757635200,0.3202668014216043,448162713,54565,29800933
2025-09-13,1757721600,0.26662661451308806,448423731,3955,28558428
2025-09-14,1757808000,0.2580068273147113,448790768,10747,23470719
2025-09-15,1757894400,0.7633315827757239,448858718,221584,84746744
2025-09-16,1757980800,0.7132698918839679,460074282,176219,68972756
2025-09-17,1758067200,0.64670486619623,459875807,140324,64912625
