Protocol,Type,SPT Score,Raw Score,TVL,Fees 24h,Volume 24h,Change 24h %,Change 7d %,Change 30d %,Historical Data Points
Aave,lending,0.879499398938957,0.879499398938957,74125547598,2098106,0,-4.245005959741687e-8,-0.7474005968499564,-1.2607834273931895,31
Uniswap,dex,0.7456968949470981,0.7456968949470981,4001728471.3722997,1830536,2077523833,-7.738706550190884e-8,-3.024057634622997,-4.977957394849607,33
Maple,lending,0.7444972089639516,0.7444972089639516,5840441996.52231,434123,0,-5.297972650382245,-5.142661727419809,-5.97081910595394,31
Fluid Lending,lending,0.6816052299719878,0.6816052299719878,4398625890.09824,151528,0,-14.411179689189055,-14.734732444118926,-15.706695971007123,31
Compound V3,lending,0.6306591683928843,0.6306591683928843,3148280937.673131,74711,0,-13.476129688575728,-13.96351028549048,-17.61967888204974,31
Euler V2,lending,0.605952442235538,0.605952442235538,3601399688.64513,208364,0,-19.00869338678553,-19.025528238773703,-21.29635441601794,31
PancakeSwap,dex,0.6039696840041191,0.6039696840041191,2723899371,434039,1387097465,-8.476577532964296e-8,-8.0288616568517,-15.511828810839296,32
Kamino Lend,lending,0.6025195911104155,0.6025195911104155,4810011543.79609,190432,0,-11.770633329885962,-11.750833371387742,-13.112757000133588,31
JustLend,lending,0.5736013210652474,0.5736013210652474,3900499822.6735196,30063,0,-1.2656693062748752,-1.5999810386688125,-4.107241973190074,31
Sky Lending,lending,0.529051278416782,0.529051278416782,6611566294.2426405,1221274,0,,0.2701747705202527,0.20573298219021735,31
Spark,lending,0.5002877360608537,0.5002877360608537,11458846112.55538,529216,0,,-0.4442449661863178,-0.9259317597581234,31
Raydium,dex,0.4999972446643634,0.4999972446643634,1567374742,469689,511263668,3.440174896751381e-8,1.3209987845661395,-3.0823103158040763,31
Morpho,lending,0.49579063107080856,0.49579063107080856,11800766950,426614,0,,-3.2436077440833135,-3.384396120278311,31
Benqi,lending,0.48000468575056954,0.48000468575056954,595674377.02876,55628,0,,-0.018837546250126087,-0.15134165921780401,31
Venus,lending,0.4798845130186748,0.4798845130186748,2952046768,52678,0,,-0.00991361647102107,-0.20648071918585045,31
Radiant,lending,0.4777645585670186,0.4777645585670186,37916431,168,0,,-0.0019612151533454115,-0.0008524025162465958,31
Aerodrome,dex,0.4747598419161663,0.4747598419161663,412659722,268610,478046060,-7.917819012591036e-8,-4.7904877402909145,-7.094188154483144,31
crvUSD,cdp,0.4745561730792101,0.4745561730792101,89063695.87819,3021,0,0.36566722926530987,-7.221080618690285,-6.7656376660122985,31
Liquity,cdp,0.4717810644707551,0.4717810644707551,409299142.22162,4903,0,,-0.6095394312128799,-0.48025299363423185,31
Orca DEX,dex,0.4698968126937691,0.4698968126937691,353553404.81639004,267735,442819869,-6.061487884865697e-8,-3.0907663718711205,-4.680998509934723,31
Meteora DLMM,dex,0.4563211470591349,0.4563211470591349,523175125.07038,438019,208823477,-1.1126836310714102e-7,-4.216069116005395,-19.177895903654402,31
Curve DEX,dex,0.4503684716569067,0.4503684716569067,2652878291.828,148400,384945258,-3.3170065830007793e-7,-11.252774629251666,-8.268293691947608,31
SushiSwap,dex,0.4122581022474756,0.4122581022474756,118129016.44766995,186673,62224286,1.3086296427475682e-7,0.29664565159776624,-0.9398709130729644,31
Momentum,dex,0.39659077373194124,0.39659077373194124,151471712.99136,32240,51133820,-6.327920160689217e-8,-0.6850299492281676,-2.478653082013295,31
Balancer,dex,0.39295134353650796,0.39295134353650796,250866814,20401,29679735,-1.2498778557278194e-7,-0.7322310253511006,-1.3542481571278326,31
Quickswap,dex,0.39004545649897576,0.39004545649897576,535568235,11725,11781900,-5.955080773938008e-7,-4.648276957910346,-4.159211573257703,31
