Date,Timestamp,SPT Score,TVL,Fees,Volume
2025-07-26,1753488000,0.2937115478395405,5675134379,3433945,2369976147
2025-07-27,1753574400,0.354198842523555,5763079730,4107808,3081080393
2025-07-28,1753660800,0.4028208355562998,5896370893,4232113,3530991275
2025-07-29,1753747200,0.39154229207471625,5767238794,4603871,3580193026
2025-07-30,1753833600,0.4037388703961636,5693406273,4764255,4014691876
2025-07-31,1753920000,0.387378335949795,5704623174,4615584,3728701342
2025-08-01,1754006400,0.4345908989993321,5556824336,5100970,4867264395
2025-08-02,1754092800,0.2939660157320383,5362623592,3850704,3231393236
2025-08-03,1754179200,0.23893510449250338,5221143247,3134123,2632065527
2025-08-04,1754265600,0.3027325179981544,5397475691,3790528,3388559268
2025-08-05,1754352000,0.3332813860567281,5571152083,4093432,3368829570
2025-08-06,1754438400,0.34958679369895257,5471440077,4751476,3595990326
2025-08-07,1754524800,0.3651888972779711,5585504894,4283475,3891261830
2025-08-08,1754611200,0.47752554628524174,6127659046,4414328,4073606623
2025-08-09,1754697600,0.5008225278746247,5836861013,4520376,5631388757
2025-08-10,1754784000,0.46205492777826773,6043997445,4055679,4282115379
2025-08-11,1754870400,0.5424022500623299,6097321577,5326872,4909424316
2025-08-12,1754956800,0.623708200890483,5941993385,5348584,8526809670
2025-08-13,1755043200,0.5811141310469113,6200696913,5384258,5314757423
2025-08-14,1755129600,0.6737396287389189,6359003447,6083175,6507742453
2025-08-15,1755216000,0.5591288309405917,6260555159,5526028,4580648870
2025-08-16,1755302400,0.533420394157909,6095797490,6786198,3780530393
2025-08-17,1755388800,0.5661083166127977,6167272894,6749883,4222321266
2025-08-18,1755475200,0.6912087960008806,6218235316,7972225,5937214221
2025-08-19,1755561600,0.6284869914414066,6075104260,7298056,5490051328
2025-08-20,1755648000,0.5228250379974556,5780167863,6541371,4945013921
2025-08-21,1755734400,0.4678573479796112,5954319364,5210632,4023975453
2025-08-22,1755820800,0.5655561573473482,5817615375,5988845,6166208726
2025-08-23,1755907200,0.5285164324185478,6286243829,4510438,4538904578
2025-08-24,1755993600,0.5517579834486656,6333785143,5155549,4471308532
2025-08-25,1756080000,0.7036820400141317,6227472049,7930867,6259147822
2025-08-26,1756166400,0.5455016455681019,5895039691,6290799,5122201972
2025-08-27,1756252800,0.523483534329849,5930781355,5596774,4987041743
2025-08-28,1756339200,0.41400041820214056,5881518559,4536639,3636950021
2025-08-29,1756425600,0.49240718848498266,5887864881,5370524,4675031764
2025-08-30,1756512000,0.34605678830198294,5793644583,3944449,2847824093
